category,month,commentary,has_known_driver
Bond,2025-04-01,Bond net flow was $71B below trend forecast (threshold: $49B) in April 2025. Driver: pending analyst review — no known one-off cause on file.,False
Equity,2025-07-01,"Equity net flow was $310B below trend forecast (threshold: $224B) in July 2025. Driver: ICI Fact Book: outflow driven by activity in a handful of collective investment trusts (CITs), not individual investor redemptions (Fig. 3.4 footnote).",True
